"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "null" 10199 2 "null" "null" "null" "None" "none" "none" "none" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" NA
2 "da" 14195 2 "alveolar" "1" "da.1.1.mp3" "da_v1_b1" "Alv" "Vcd" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-da" "null-1" NA
3 "sa" 15703 2 "alveolar" "2" "sa.3.2.mp3" "sa_v2_b1" "Alv" "Vls" "Fric" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "da-sa" "1-2" 0.0291248697204559
4 "TH_a" 17195 2 "dental" "3" "TH_a.1.3.mp3" "TH_a_v3_b1" "Dent" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "TH_a-sa" "3-2" 0.0250740393246598
5 "sa" 18704 2 "alveolar" "1" "sa.1.1.mp3" "sa_v1_b1" "Alv" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "TH_a-sa" "1-3" 0.0250740393246598
6 "pa" 20196 2 "labial" "2" "pa.2.2.mp3" "pa_v2_b1" "Lab" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "pa-sa" "1-2" 0.0502525895157616
7 "sha" 21705 2 "palato-alveolar" "3" "sha.3.3.mp3" "sha_v3_b1" "Pal" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "sha-pa" "3-2" 0.0364423259600863
8 "fa" 23197 2 "labio-dental" "2" "fa.5.2.mp3" "fa_v2_b1" "Lab" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-fa" "3-2" 0.0279206459825738
9 "ka" 24705 2 "velar" "3" "ka.7.3.mp3" "ka_v3_b1" "Vel" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-fa" "3-2" 0.0763014313858586
10 "sa" 26198 2 "alveolar" "4" "sa.2.4.mp3" "sa_v4_b1" "Alv" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-sa" "4-3" 0.0628311471416047
11 "tha" 27706 2 "dental" "1" "tha.3.1.mp3" "tha_v1_b1" "Dent" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "tha-sa" "1-4" 0.15482586365123
12 "sa" 29198 2 "alveolar" "3" "sa.1.3.mp3" "sa_v3_b1" "Alv" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "tha-sa" "1-3" 0.15482586365123
13 "sha" 30707 2 "palato-alveolar" "4" "sha.2.4.mp3" "sha_v4_b1" "Pal" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-sa" "4-3" 0.113246765824953
14 "pa" 32199 2 "labial" "1" "pa.3.1.mp3" "pa_v1_b1" "Lab" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "sha-pa" "1-4" 0.0364423259600863
15 "da" 33708 2 "alveolar" "4" "da.2.4.mp3" "da_v4_b1" "Alv" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "pa-da" "1-4" 0.022685051914619
16 "va" 35200 2 "labio-dental" "2" "va.1.2.mp3" "va_v2_b1" "Lab" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "va-da" "4-2" 0.0576268048212968
17 "va" 36708 2 "labio-dental" "4" "va.3.4.mp3" "va_v4_b1" "Lab" "Vcd" "Fric" "repsyll" "repsyll" "repsyll" "repLab" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "va-va" "4-2" NA
18 "sa" 38201 2 "alveolar" "3" "sa.3.3.mp3" "sa_v3_b1" "Alv" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "va-sa" "4-3" 0.0231050611407216
19 "da" 39709 2 "alveolar" "3" "da.3.3.mp3" "da_v3_b1" "Alv" "Vcd" "Stop" "repcatvoice" "repvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "da-sa" "3-3" 0.0291248697204559
20 "ka" 41201 2 "velar" "1" "ka.3.1.mp3" "ka_v1_b1" "Vel" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ka-da" "1-3" 0.0188136951680179
21 "sha" 42710 2 "palato-alveolar" "1" "sha.1.1.mp3" "sha_v1_b1" "Pal" "Vls" "Fric" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "repVoice" "sha-ka" "1-1" 0.0431383354927817
22 "va" 44202 2 "labio-dental" "1" "va.2.1.mp3" "va_v1_b1" "Lab" "Vcd" "Fric" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "repVoice" "sha-va" "1-1" 0.019665034907335
23 "ma" 45695 2 "labial" "3" "ma.2.3.mp3" "ma_v3_b1" "Lab" "Vcd" "Nas" "repcat" "repcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "va-ma" "1-3" 0.0319429196022726
24 "va" 47203 2 "labio-dental" "3" "va.2.3.mp3" "va_v3_b1" "Lab" "Vcd" "Fric" "repcatvoice" "repcatvoice" "repvoice" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "va-ma" "3-3" 0.0319429196022726
25 "ka" 48695 2 "velar" "4" "ka.2.4.mp3" "ka_v4_b1" "Vel" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ka-va" "4-3" 0.0224300675837212
26 "tha" 50204 2 "dental" "3" "tha.2.3.mp3" "tha_v3_b1" "Dent" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-tha" "4-3" 0.0805281948632112
27 "pa" 51696 2 "labial" "3" "pa.4.3.mp3" "pa_v3_b1" "Lab" "Vls" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "repVoice" "pa-tha" "3-3" 0.127757236025028
28 "ga" 53204 2 "velar" "2" "ga.2.2.mp3" "ga_v2_b1" "Vel" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "pa-ga" "3-2" 0.0159491621223005
29 "SH_a" 54696 2 "palato-alveolar" "3" "SH_a.1.3.mp3" "SH_a_v3_b1" "Pal" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "SH_a-ga" "3-2" 0.123287666201073
30 "ba" 56205 2 "labial" "1" "ba.1.1.mp3" "ba_v1_b1" "Lab" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-SH_a" "1-3" 0.0284752464955132
31 "ta" 57697 2 "alveolar" "4" "ta.1.4.mp3" "ta_v4_b1" "Alv" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ba-ta" "1-4" 0.0137873747502122
32 "va" 59206 2 "labio-dental" "4" "va.3.4.mp3" "va_v4_b1" "Lab" "Vcd" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "va-ta" "4-4" 0.0244476238203606
33 "ta" 60698 2 "alveolar" "1" "ta.2.1.mp3" "ta_v1_b1" "Alv" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "va-ta" "1-4" 0.0244476238203606
34 "TH_a" 62207 2 "dental" "4" "TH_a.3.4.mp3" "TH_a_v4_b1" "Dent" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "TH_a-ta" "1-4" 0.018398855471175
35 "ga" 63699 2 "velar" "1" "ga.1.1.mp3" "ga_v1_b1" "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "TH_a-ga" "1-4" 0.120990305857703
36 "pa" 65207 2 "labial" "4" "pa.2.4.mp3" "pa_v4_b1" "Lab" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "pa-ga" "1-4" 0.0159491621223005
37 "sa" 66699 2 "alveolar" "1" "sa.2.1.mp3" "sa_v1_b1" "Alv" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "pa-sa" "1-4" 0.0502525895157616
38 "na" 68208 2 "alveolar" "2" "na.3.2.mp3" "na_v2_b1" "Alv" "Vcd" "Nas" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-sa" "1-2" 0.0139257103845774
39 "fa" 69700 2 "labio-dental" "1" "fa.1.1.mp3" "fa_v1_b1" "Lab" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-fa" "1-2" 0.0124501934624614
40 "ta" 71209 2 "alveolar" "3" "ta.3.3.mp3" "ta_v3_b1" "Alv" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "fa-ta" "1-3" 0.0578158780927524
41 "tha" 72701 2 "dental" "2" "tha.1.2.mp3" "tha_v2_b1" "Dent" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "tha-ta" "3-2" 0.0773941774325793
42 "SH_a" 74210 2 "palato-alveolar" "1" "SH_a.2.1.mp3" "SH_a_v1_b1" "Pal" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "SH_a-tha" "1-2" 0.0163735463965243
43 "da" 75702 2 "alveolar" "2" "da.2.2.mp3" "da_v2_b1" "Alv" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "SH_a-da" "1-2" 0.0888856874159333
44 "pa" 77210 2 "labial" "4" "pa.3.4.mp3" "pa_v4_b1" "Lab" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "pa-da" "4-2" 0.022685051914619
45 "tha" 78702 2 "dental" "4" "tha.3.4.mp3" "tha_v4_b1" "Dent" "Vls" "Fric" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "repVoice" "pa-tha" "4-4" 0.127757236025028
46 "ka" 80195 2 "velar" "2" "ka.2.2.mp3" "ka_v2_b1" "Vel" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-tha" "4-2" 0.0805281948632112
47 "ka" 81703 2 "velar" "2" "ka.4.2.mp3" "ka_v2_b1" "Vel" "Vls" "Stop" "ident" "ident" "ident" "null" "null" "null" "null" "repVel" "null" "repStop" "null" "null" "repVls" "repVoice" "ka-ka" "2-2" NA
48 "da" 83195 2 "alveolar" "3" "da.3.3.mp3" "da_v3_b1" "Alv" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ka-da" "3-2" 0.0188136951680179
49 "ta" 84704 2 "alveolar" "2" "ta.1.2.mp3" "ta_v2_b1" "Alv" "Vls" "Stop" "repcat" "diffcat" "repcat" "null" "repAlv" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "da-ta" "3-2" 0.0210098839279326
50 "fa" 86196 2 "labio-dental" "4" "fa.7.4.mp3" "fa_v4_b1" "Lab" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "fa-ta" "4-2" 0.0578158780927524
51 "TH_a" 87705 2 "dental" "2" "TH_a.2.2.mp3" "TH_a_v2_b1" "Dent" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "TH_a-fa" "4-2" 0.0336796104980624
52 "SH_a" 89197 2 "palato-alveolar" "4" "SH_a.1.4.mp3" "SH_a_v4_b1" "Pal" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "TH_a-SH_a" "4-2" 0.0354052643338604
53 "SH_a" 90705 2 "palato-alveolar" "1" "SH_a.2.1.mp3" "SH_a_v1_b1" "Pal" "Vcd" "Fric" "repsyll" "repsyll" "repsyll" "null" "null" "null" "repPal" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "SH_a-SH_a" "1-4" NA
54 "za" 92198 2 "alveolar" "3" "za.2.3.mp3" "za_v3_b1" "Alv" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "za-SH_a" "1-3" 0.138178965310133
55 "ta" 93706 2 "alveolar" "2" "ta.2.2.mp3" "ta_v2_b1" "Alv" "Vls" "Stop" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "za-ta" "3-2" 0.0233811261053915
56 "ba" 95198 2 "labial" "2" "ba.3.2.mp3" "ba_v2_b1" "Lab" "Vcd" "Stop" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "repVoice" "ba-ta" "2-2" 0.0137873747502122
57 "ma" 96707 2 "labial" "4" "ma.3.4.mp3" "ma_v4_b1" "Lab" "Vcd" "Nas" "repcat" "repcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-ma" "4-2" 0.0389983712671896
58 "fa" 98199 2 "labio-dental" "3" "fa.4.3.mp3" "fa_v3_b1" "Lab" "Vls" "Fric" "repcat" "diffcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "fa-ma" "4-3" 0.015844076735163
59 "sa" 99625 2 "alveolar" "2" "sa.3.2.mp3" "sa_v2_b1" "Alv" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "fa-sa" "3-2" 0.0673755969649652
60 "sa" 101017 2 "alveolar" "4" "sa.2.4.mp3" "sa_v4_b1" "Alv" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "repAlv" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sa-sa" "4-2" NA
61 "null" 102510 2 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
62 "sha" 106505 2 "palato-alveolar" "2" "sha.1.2.mp3" "sha_v2_b1" "Pal" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-sha" "null-2" NA
63 "va" 108014 2 "labio-dental" "1" "va.1.1.mp3" "va_v1_b1" "Lab" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "sha-va" "1-2" 0.019665034907335
64 "ma" 109506 2 "labial" "1" "ma.1.1.mp3" "ma_v1_b1" "Lab" "Vcd" "Nas" "repcatvoice" "repcatvoice" "repvoice" "repLab" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "va-ma" "1-1" 0.0319429196022726
65 "ga" 111014 2 "velar" "4" "ga.3.4.mp3" "ga_v4_b1" "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ga-ma" "1-4" 0.0288986920135984
66 "za" 112507 2 "alveolar" "2" "za.3.2.mp3" "za_v2_b1" "Alv" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "za-ga" "4-2" 0.139643669311959
67 "null" 114015 2 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
68 "null" 118011 2 "null" "null" "null" "None" "none" "none" "none" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "null" "null" NA
69 "tha" 122006 2 "dental" "2" "tha.1.2.mp3" "tha_v2_b1" "Dent" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-tha" "null-2" NA
70 "ma" 123515 2 "labial" "2" "ma.1.2.mp3" "ma_v2_b1" "Lab" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "tha-ma" "2-2" 0.0211291928621254
71 "da" 125007 2 "alveolar" "1" "da.1.1.mp3" "da_v1_b1" "Alv" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "da-ma" "1-2" 0.0227881412430219
72 "ma" 126516 2 "labial" "2" "ma.3.2.mp3" "ma_v2_b1" "Lab" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "da-ma" "1-2" 0.0227881412430219
73 "null" 128008 2 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
74 "TH_a" 132004 2 "dental" "1" "TH_a.2.1.mp3" "TH_a_v1_b1" "Dent" "Vcd" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-TH_a" "null-1" NA
75 "ba" 133512 2 "labial" "3" "ba.2.3.mp3" "ba_v3_b1" "Lab" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-TH_a" "1-3" 0.14699289863621
